Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Exploring the immigrant experience through self-silencing theory and the full-frame approach: The case of Caribbean immigrant women in Canada and the United States.","Ali, Alisha","Silencing the self across cultures: Depression and gender in the social world.",,="0195398092; 9780195398090",="20100101",,,"227","14","2010-08771-010","10.1093/acprof:oso/9780195398090.003.0011","Oxford University Press","Chapter","Cross Cultural Differences; Immigration; Major Depression; Repression (Defense Mechanism); Self-Concept; Alienation; Culture (Anthropological); Life Experiences; Privacy; Psychological Theories; Race (Anthropological); Self-Perception; Social Behavior; Social Environments; Communication Barriers; Female",,"The concept of silencing the self is grounded in the notion that the social world can shape one's behavior and one's self-perceptions in ways that precipitate a gradual alienation between the private self and the public self (Jack, 1991). Because the social world is constituted by the broader cultural milieu in which an individual and groups of individuals reside, silencing the self theory can be a powerful tool in examining the interface between self and culture. The theory can further be used to explore the process of transitioning from one culture to another, a process embodied in the immigrant experience. In this chapter, I describe the role of self-silencing in a particular type of immigrant experience: that of women who have emigrated from the English-speaking Caribbean to Canada or the United States. The basis for this discussion is a series of focus groups that were conducted in Toronto and New York City in which Caribbean immigrant women talked about the idea of self-silencing within the context of their lives as immigrant women. Through a comparison of the focus group findings from the Canadian immigrant sample and the American immigrant sample, it is possible to detect phenomenological differences in the role that self-silencing plays in adapting to the cultural context in the United States in contrast to the cultural adaptation described by the immigrant women in Canada. I contend that these differences, which I outline in this chapter, emerge from differing meanings and constructions around race, identity, and selfhood between these two host countries. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2010-08771-010&site=ehost-live&scope=site"
"Exploring the perspectives of West African immigrant families on active living among adolescent children: A grounded theory of study.","Hassan, Oluwasegun Bankole","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9798684603259",="20210101","82","5-B",,,"2020-97495-069",,"ProQuest Information & Learning","Dissertation","Active Living; Family; Immigration; Parents; Physical Activity; African Cultural Groups; Grounded Theory; Peer Pressure; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs)",,"Accumulating evidence suggests that the risks of inactivity-related problems such as obesity are becoming a population health concern among younger age groups. High income countries show an elevated rate of physical inactivity among children. Low- and middle-income countries are beginning to experience a gradual increase in this trend. Canada is a highly industrialized multicultural society with nearly 22% of foreign-born individuals coming through the immigration process. Recent immigrants tend to experience a decline in their health status, over time as their years in Canada increase (negative acculturation effect). This phenomenon can be attributed to several factors including adaptation to the new sociocultural environment. While a great deal of research has focused on children, there is paucity of research in this area among West African children in Canada. With Saskatchewan being one of the fastest growing populations in Canada, this study sought to gain a deeper understanding of the perspectives of West African immigrant families in Saskatchewan and assess the impact of the sociocultural environment on active living among their adolescent children. Using purposive sampling, a total of 15 families residing in Saskatchewan were interviewed. Children between 10 to 17 years and their parents were interviewed in each family. A grounded theory methodological approach by Charmaz (2014) was used in this study. This involved an immersion phase, a conceptual phase, and a constant comparative analytical process. The analysis allowed for emergence of themes. Both the children and their parents reported having experiential knowledge of physical activity and benefits. The children and their parents also showed some negative acculturative experiences associated with active living. They reported facilitators of physical activity for the children such as school influence, peer influence, and parental role-modelling. The children showed an inherent interest in engaging in risky play. Both the children and their parents reported beneficial outcomes of engaging in physical activity together as a family. Finally, parental positive and negative reinforcements was reported in relation to domestic activities. This study contributes to a conceptual understanding of the knowledge regarding internal, external, and transitional factors impacting the active living and well-being of West African children in Canada. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2020-97495-069&site=ehost-live&scope=site"
"Exploring U.S. imperialist influences on bicultural Koreans' identity negotiation: A critical theory study.","Lee, Minsun","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9781303323119",="20140101","74","12-B(E)",,,"2014-99120-181",,"ProQuest Information & Learning","Dissertation","Negotiation; Interpersonal Control; Cultural Identity; Ideology; Latinos/Latinas",,"Bicultural identity has traditionally been studied in a contextual vacuum, with little attention to how asymmetrical power dynamics between two cultures influence the negotiation of a bicultural identity. This critical theory study used a focus group and follow-up individual interviews to illuminate how five adult bicultural Koreans residing in the U.S. negotiate their sociocultural identities within the context of U.S. imperialist influences. Interpretive phenomenological analysis (Smith & Osborn, 2008) and methods drawn from feminist research (Anderson & Jack, 1991) were employed to analyze the data. The analysis of the focus group and individual interviews suggested that participants were influenced by their experiences of immigration, racialization, racism, and racial triangulation in the U.S. Moreover, participants' accounts manifested hegemonic ideologies of color-blindness and individualism, and revealed a mixture of false consciousness and critical consciousness about racism within the U.S. That is, colorblind ideology and individualistic ideology appeared to obscure the role of racialization and racism, resulting in a false consciousness. At the same time, participants also manifested a critical understanding of history and the call for sociopolitical activism. Additionally, participants' narratives revealed internalized beliefs about the superiority of the U.S. versus the inferiority of Korea. Although most participants explicitly denied the impact of these factors on their bicultural identity, they implicitly acknowledged ways in which the asymmetrical power dynamics between the U.S. and Korea on the global stage, and between White Americans and ethnic Koreans within the U.S., influence their negotiation of sociocultural identities. The present findings have theoretical and practical implications for understanding and working with bicultural Koreans within the U.S. First, identity theory and clinical practice associated with bicultural Koreans needs to attend to the experiences of loss of power, racism, and assimilation. Second, it is important to attend to the role of ideologies in bicultural Koreans' identity negotiation. Third, there needs to be a focus on the influence of false consciousness in bicultural Koreans' identities. Finally, because bicultural Koreans' internalization of the inferiority of Korean culture appears to influence their identities as Korean and American, this internalization should be attended to theorizing about and counseling with bicultural Koreans. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2014-99120-181&site=ehost-live&scope=site"
"Factors affecting immigrants' acculturation intentions: A theoretical model and its assessment among adolescent immigrants from Russia and Ukraine in Israel.","Tartakovsky, Eugene","International Journal of Intercultural Relations",="01471767",,="20120101","36","1","83","17","2012-05339-008","10.1016/j.ijintrel.2011.02.003","Elsevier Science","Journal Article","Acculturation; Adolescent Attitudes; Immigration; Intention; Planned Behavior; Adolescence (13-17 yrs); Male; Female",,"In this study, a new acculturation intentions model (AIM) was formulated to help explain immigrants’ preferences for different acculturation strategies and their further emigration intentions, i.e. their plans to either remain in the host country, return to their country of origin, or emigrate to a third country. The AIM applies the theory of planned behavior (Ajzen, 1991) to the case of immigration. In the present study, the AIM was assessed among high-school adolescents who immigrated from Russia and Ukraine to Israel as part of an educational program (n = 151). The adolescents completed questionnaires twice: half a year before and three years after their immigration. In accordance with the theoretical model, attitudes towards the country of origin and the host country and perceived environmental constraints (including perceived discrimination as well as perceived social support from parents, peers, and teachers) affected the immigrants’ acculturation intentions. In contrast with what was hypothesized in this study, immigrants’ psychological resources were not related to their acculturation intentions. The significance of these findings for both the immigrants and the host society are discussed. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-05339-008&site=ehost-live&scope=site"
"Family separation and mental health outcomes among Mexican immigrants: An acculturative stress framework.","Rusch, Dana","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9781124864389",="20120101","72","11-B","7087","1","2012-99100-257",,"ProQuest Information & Learning","Dissertation","Acculturation; Family; Immigration; Major Depression; Mental Health; Parents; Stress; Health Outcomes; Family Separation; Male; Female",,"Serial or stage-wise migration is common among Mexican families and is characterized by a series of family separations, typically between parents and children. This pattern reflects the long-standing socio-political history between the U.S. and Mexico and is well-documented in the sociological literature along with discussion of transnational context. Despite data to suggest that serial migration separations increase risk for depression for both parents and children when compared to non-separated immigrant counterparts, few studies have specifically investigated the effects of these separations on individual-level and family-level outcomes. This study uses an acculturative stress model to examine the effects of serial-migration family separations on parent depression, family cohesion and general family functioning. Part of this study also served as a pilot phase for developing a measure to assess parents' appraisals of family separation and reunion experiences. Data were collected from a community sample of Mexican immigrant parents (N=53; 72% mothers) via surveys administered in Spanish by researchers. Seventy percent of the sample experienced a separation from at least one child during immigration to the U.S. A relatively high percentage (43.4%) met clinical cutoff scores for depression, but there was no significant difference in scores between separated status and non-separated status groups. These groups also did not differ on any family-level outcomes. Even though results did not support the proposed mediation models to predict depression or family-level outcomes, separated status parents reported significantly higher levels of acculturative stress than their non-separated counterparts. Pilot data suggest that negative appraisals of separation experiences were associated with higher levels of acculturative stress and depression, as well as poor family functioning and family cohesion. Overall, these findings endorse using an acculturative stress framework to understand the post-migration experiences of Mexican families in the U.S. Limitations of these findings are discussed along with suggestions for future research. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-99100-257&site=ehost-live&scope=site"
"Fostering insights: A strengths-based theory of parental transformation.","Broski, Julie A.; Dunn, Winnie","Journal of Child and Family Studies",="10621024",,="20180401","27","4","1275","12","2017-58292-001","10.1007/s10826-017-0964-5","Springer","Journal Article","Childhood Development; Diagnosis; Life Changes; Parents; Theories; Family; Adulthood (18 yrs & older)",,"Parent’s awareness that their child’s development is not proceeding as they expected can create an unanticipated transition from being a parent to becoming the parent of a child with a developmental diagnosis. While many transition theories contribute to our understanding of how parents’ experience change over time, many traditional transition models are not family-centered and do not provide a strengths-based perspective of parents’ experiences during this transition. This paper describes the process of theory derivation to develop a strengths-based theory of parental transformation (STPT). We used the theory of well-being of refugee women experiencing cultural transition to gain insights into parents’ experiences related to their child’s diagnosis. We propose that the STPT addresses a gap in the literature by situating the diagnostic process within a strengths’ based framework that aligns with contemporary perspectives regarding disability. The STPT emphasizes understanding parents’ experiences and needs in ways that promote personal growth to support the parent and child. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-58292-001&site=ehost-live&scope=site"
"Found in translation: A review of the clinical and conceptual links between immigration and psychosis.","Burns, Kelly M.","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9781303918216",="20150101","75","9-B(E)",,,"2015-99060-233",,"ProQuest Information & Learning","Dissertation","Anthropology; Etiology; Immigration; Insight; Literature; Psychosis",,"This dissertation reviews the literature on psychosis in immigrant populations, using insights from anthropology, postcolonial theory, and related philosophical disciplines to present immigration and psychosis as liminal states with both conceptual and concrete connections. The last 15 years have seen a growth in research demonstrating increased rates of psychosis in migrant populations around the world, and in derivative literature exploring etiological hypotheses that might explain this disparity. The current study notes an absence in this literature of acknowledgement of the central role that culture, language, and transitional states play in both immigration and psychosis, which hampers a full and clinically useful understanding of what happens when these processes co-occur. To augment the literature, the author surveys topics such as anthropology's revisions to the concept of acculturation, postcolonial theories of cultural encounter and evolution, poststructuralist theories of language and meaning, and deconstructionist analysis of xenophobia's influence in the historical development of psychosis as a diagnosis, applying these to a more nuanced appreciation of the convergence of migration and psychosis. The review concludes explaining how interdisciplinary perspectives might play a larger role in guiding clinical research and training, and might allow for ways of thinking about psychosis that both improve patient care and help propel academic discourse on language, culture, meaning, and psychosis, the great conundrums of psychiatry and philosophy. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2015-99060-233&site=ehost-live&scope=site"
"Further development of integrated threat theory and intergroup contact: A reply to Aberson (2015).","Croucher, Stephen M.","Communication Monographs",="03637751",,="20160401","83","2","269","7","2016-22092-006","10.1080/03637751.2015.1119866","Taylor & Francis","Comment/Reply","Cross Cultural Differences; Immigration; Muslims; Threat",,"This essay furthers a dialogue about the theoretical and statistical merits of Croucher's [(2013). Integrated threat theory and acceptance of immigrant assimilation: An analysis of Muslim immigration in Western Europe. Communication Monographs, 80, 46–62] study exploring the relationships between threat from an immigrant group, belief that an immigrant wants to assimilate, and intergroup contact. Key points of divergence include assertions that (a) the relationships in the original piece are counter to previous literature/relationships, (b) the correlations presented are implausible, (c) the magnitude of the relationships is too strong, and (d) the manuscript has 'odd' multiple regression coefficients. This rejoinder argues (a) more intergroup contact can lead to more threat, (b) the correlations are real, Aberson's [(2015). Strange results and implausible correlations in Croucher (2013). Communication Monographs] formula is invalid, and subsequent research has produced similar results, (c) the magnitude of the relationships and multiple regression coefficients is real, and (d) it is possible that statistical issues (such as sample characteristics and outliers) heightened the magnitude in this study. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2016-22092-006&site=ehost-live&scope=site"
"Gender and sexuality in migration processes: Theoretical and methodological issues.","Mangone, Emiliana","Gender and sexuality in the migration trajectories: Studies between the northern and southern Mediterranean shores.",,="9781641131285; 9781641131292; 9781641131308",="20180101",,,"3","11","2018-25968-001",,"IAP Information Age Publishing","Chapter","Human Migration; Human Sex Differences; Sexuality; Sociocultural Factors; Theories; Acculturation",,"Migration is a complex social phenomenon that involves the possession of a clear framework allowing for the appropriate calibration of interventions, while also trying to interpret future trends. The existential state of migration leads to the formation of multiple, diasporic identities, deterritorialized and recompiled at the individual level. The inclusion of immigrants is therefore the result of two-way processes in which the social representations that migrants construct of the population and of the host society (before and after their arrival), and the intangible resources that they experience are of paramount importance. Integration is 'an evolutionary process,' and integration policies need to be elaborated according to a logic that supports access to services, language learning, and the fight against discrimination. On this latter aspect, a strongly discriminating variable is gender and sexuality linked to it: theoretical and methodological challenges suggest the intersecting of a perspective that takes into account the interconnection of gender, sexuality, and migration. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2018-25968-001&site=ehost-live&scope=site"
"Generational status and academic achievement among Latino high school students: Evaluating the segmented assimilation theory.","Kalogrides, Demetra","Sociological Perspectives",="07311214",,="20090601","52","2","159","25","2009-08450-007","10.1525/sop.2009.52.2.159","University of California Press","Journal Article","Academic Achievement; High School Students; Immigration; Generational Differences; Latinos/Latinas; Theories; Adolescence (13-17 yrs); Male; Female",,"In this study, the author evaluates some of the key assertions of the segmented assimilation theory by examining the generational pattern of achievement among Latino high school students. Segmented assimilation theory posits that the outcomes of immigrants will not necessarily improve monotonically across generations, especially in disadvantaged contexts, and that maintaining familial and ethnic ties can have a protective effect on immigrant students. The author tests these ideas by examining variation in the generational pattern of achievement in low-income schools among Latino high school students. The author finds that changes in achievement across generations generally follow a pattern of classical assimilation with small, though not statistically significant, improvements in achievement from the first to the second generation and from the second to the third generation in both poor and nonpoor schools. Contrary to hypotheses derived from segmented assimilation theory, the author finds no evidence of 'downward assimilation' across generations among Latinos attending low-income schools. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2009-08450-007&site=ehost-live&scope=site"
"Host culture adoption or intercultural contact? Comparing different acculturation conceptualizations and their effects on host members’ attitudes towards immigrants.","Matera, Camilla; Stefanile, Cristina; Brown, Rupert","International Journal of Intercultural Relations",="01471767",,="20120701","36","4","459","13","2012-08961-001","10.1016/j.ijintrel.2012.03.002","Elsevier Science","Journal Article","Acculturation; Concept Formation; Cross Cultural Communication; Ethnic Identity; Immigration; Cross Cultural Differences; Adulthood (18 yrs & older); Male; Female",,"The effects of the two dimensions underlying immigrants’ perceived acculturation strategies conceptualized respectively as Intercultural Contact or as host Culture Adoption were examined. Host members’ attitudes and perceptions of immigrants’ adjustment to the host society were assessed in two experimental studies (N =251; N =124). Participants were presented with a fictitious interview with an African immigrant whose generational Status, desire for Culture Maintenance and Intercultural Contact (Study 1) or host Culture Adoption (Study 2) were manipulated (2 × 2 × 2 design). Results showed that both perceived desire for contact and for culture adoption positively affected host members’ attitudes, and that the culture adoption–attitudes relationship was partially mediated by perceived threat. These effects were stronger than those attributable to perceived Culture Maintenance. The latter variable moderated the Desire for Contact but not the Desire for Culture Adoption main effect. Moreover, Contact and Culture Adoption and generational Status all influenced the way in which host members perceived immigrants’ sociocultural adjustment. We conclude that more similarities than differences exist between the Contact and the Culture Adoption frameworks, at least in terms of their effects on majority attitudes towards immigrants. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-08961-001&site=ehost-live&scope=site"
"How Latinos are transforming the United States: Research, theory, and policy.","Casas, Juan F.; Ryan, Carey S.","Journal of Social Issues",="00224537",,="20100301","66","1","1","10","2010-04896-001","10.1111/j.1540-4560.2009.01629.x","Wiley-Blackwell Publishing Ltd.","Journal Article","Immigration; Latinos/Latinas; Acculturation; Education; Ethnic Identity; Interpersonal Interaction; Policy Making",,"The United States is entering a new era, a period marked by some important demographic changes in the composition of the population, most especially significant increases in the Latino and Latino immigrant segments of society. These population shifts require corresponding interpersonal, organizational, and structural changes. The present issue bridges research and theory across disciplines and includes studies incorporating a variety of methodologies to examine these important areas. These articles begin to fill some of the voids where a systematic and robust corpus of knowledge is lacking. The contributions address topics ranging from issues of identity and interpersonal relations to pressing matters of educational significance to general approaches to navigating the cultural transitions that mark fluid transnational adaptations. Finally, each contribution delineates the policy implications resulting from the processes and literatures that are examined. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2010-04896-001&site=ehost-live&scope=site"
"Identity wounds: Multiple identities and intersectional theory in the context of multiculturalism.","Krumer-Nevo, Michal; Malka, Menny","Navigating multiple identities: Race, Gender, culture, nationality, and roles.",,="9780199732074",="20120101",,,"187","20","2012-08918-011","10.1093/acprof:oso/9780199732074.003.0011","Oxford University Press","Chapter","Ethnic Identity; Immigration; Masculinity; Social Identity; Marginalization; Acculturation; Identity Formation; Racial and Ethnic Groups; Multiculturalism; Adolescence (13-17 yrs); Male",,"This chapter examines how boys who immigrated from the Caucasus to Israel use their (hyper) masculinity to heal 'identity wounds' conferred by the low status of their ethnic group in the host culture. The authors detail the ways in which the larger social context creates marginality and how this is managed through compensatory efforts to achieve 'respect' within their own ethnic community, through very specific expectations of masculinity. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-08918-011&site=ehost-live&scope=site"
"Immigrant family processes: A multidimensional framework.","Falicov, Celia Jaes","Normal family processes: Growing diversity and complexity., 4th ed.",,="9781462502554",="20120101",,,"297","27","2012-02536-013",,"The Guilford Press","Chapter","Family Relations; Immigration; Acculturation; Bereavement; Cross Cultural Differences; Family Systems Theory; Grief; Human Migration; Life Changes; Racism; Resilience (Psychological); Male; Female",,"The experience of migration is in constant flux. Today's migration contexts differ significantly from those of the past. Moving within a globalized world impacts processes of risk and resilience in families. The changes imposed by migration on family processes deserve our careful study to inform better delivery of social, medical, and educational services attuned to the special needs of immigrants. Concepts from family systems theory and family therapy, supplemented with concepts from studies on migration, can be used to deepen our understanding of the family transformations brought about by migration. This chapter expands on the author's earlier writings about the dilemmas of personal, family, and social transformation faced by immigrants and their capacity to find 'both/and' solutions rather than forcing 'either/or' choices regarding cultural change (Falicov, 1998a, 2002). The chapter discusses the multidimensional, ecosystemic, comparative approach model (MECA) for understanding the experiences of migration and acculturation, the changed ecological context, and issues related to the family life cycle and family organization. It also explores variations in the experience of migration and acculturation; the loss, grief, and mourning that are characteristic of the migration experience; the impact of racism and anti-immigrant reception; and, how to successfully integrate the dual visions of continuity and change. Finally, the author discusses the emergence of resilient immigrant practices that she labels 'spontaneous rituals,' because they encapsulate in ritualized ways various family, social, and cultural restitutive attempts following migration. In addition, the author addresses situations in which migration risks test families' capacity for blending continuity and change, and may result in clinical symptoms. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-02536-013&site=ehost-live&scope=site"
"Immigrants' political suitcases: A theory of imported socialization.","Wals Aparicio, Sergio Carlos","Dissertation Abstracts International Section A: Humanities and Social Sciences",="04194209",="9781109740738",="20100101","71","5-A","1784","1","2010-99210-127",,"ProQuest Information & Learning","Dissertation","Immigration; Politics; Socialization; Theories",,"People’s experiences throughout their lives influence their later thoughts and actions, including thoughts and actions about politics. This straightforward logic motivates attention to childhood political socialization, habitual voting, and a host of other phenomena. Yet, when it comes to studies concerning the political behaviors of immigrants to the United States, the scholarly norm has been to assume that these individuals entered the nation as political blank slates; that is, we ignore the possible influence of experiences in immigrants’ nations of origin. By contrast, this study develops and tests a theory of imported socialization in an effort to understand how immigrants’ political socialization experiences before they left their countries of origin shape the way they view the new polity after migration; the extent to which this imported socialization affects their degree of post-migration political engagement; and finally for how long the content of immigrants’ political suitcases remains consequential during their civic lives in their new home. Specific questions examined include the extent to which immigrants’ political baggage affects the intensity and the directionality of that post-migration political engagement. My findings suggest that political suitcases indeed play a key role on the political acculturation of the newcomers. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2010-99210-127&site=ehost-live&scope=site"
"Immigration and families: Treating acculturative stress from a systemic framework.","Beckerman, Nancy L.; Corbett, Lynn","Family Therapy",="00916544",,="20080101","35","2","63","19","2008-16380-001",,"Libra Publishers","Journal Article","Acculturation; Family Therapy; Immigration; Mental Health Services; Stress; Family; Intervention; Psychology",,"This article presents the most current research and literature on the psychological sequalae experienced by many recent immigrants, and employs the use of a case study (and analysis) to provide a guide for assessment and intervention from a structuralist framework. The recently immigrated family is a growing population seeking mental health intervention from family therapists and this article equips these therapists with a better understanding of the key dynamics such as acculturative stress, acculturative dissonance, and immigration trauma, followed by recommendations for systemic assessment and intervention with these vulnerable families. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2008-16380-001&site=ehost-live&scope=site"
"Immigration and the arts: A theoretical inquiry.","DiMaggio, Paul; Fernández-Kelly, Patricia","Ethnic and Racial Studies",="01419870",,="20150601","38","8","1236","9","2015-18675-004","10.1080/01419870.2015.1016081","Taylor & Francis","Editorial","Acculturation; Art; Creativity; Immigration; Cross Cultural Differences; Entrepreneurship",,"This paper proposes a systematic approach to the study of immigration and art by considering relevant theoretical concepts. We focus on the role of institutions and economic change as forces shaping the expressive alternatives of immigrants and their children. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2015-18675-004&site=ehost-live&scope=site"
"Incorporating immigrants: Integrating theoretical frameworks of adaptation.","Treas, Judith","The Journals of Gerontology: Series B: Psychological Sciences and Social Sciences",="10795014",,="20150301","70","2","269","10","2015-10062-010","10.1093/geronb/gbu067","Oxford University Press","Journal Article","Aging; Immigration; Adaptation; Age Differences; Theories; Adulthood (18 yrs & older); Aged (65 yrs & older)",,"Objectives: To encourage research on immigrants and aging by analyzing theoretical commonalities in the two fields and identifying potential contributions of aging theories, specifically to the understanding of neglected age differences in the pace of immigrant incorporation. Methods: Survey of the historical development of assimilation theory and its successors and systematic comparison of key concepts in aging and immigrant incorporation theories. Results: Studies of immigrants, as well as of the life course, trace their origins to the Chicago School at the turn of the 20th century. Today, both theoretical perspectives emphasize adaptation as a time-dependent, multidimensional, nonlinear, and multidirectional process. Immigrant incorporation theories have not fully engaged with a key concern of aging theory—why there are age differences. Insights from cognitive aging and developmental biology, life-span developmental psychology, and age stratification and the life course suggest explanations for age differences in the speed of immigrant incorporation. Discussion: Theories of adaptation to aging and theories of immigrant incorporation developed so independently that they neglected the subject they have in common, namely, older immigrants. Because they address similar conceptual problems and share key assumptions, a productive dialogue between two vibrant fields is long overdue. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2015-10062-010&site=ehost-live&scope=site"
"Inflective and reflective whiteness in the sociology of race and ethnicity: A comment on an integrative framework for the field.","Byrd, W. Carson","Ethnic and Racial Studies",="01419870",,="20171001","40","13","2226","6","2017-36065-008","10.1080/01419870.2017.1344261","Taylor & Francis","Comment/Reply","Ethnic Identity; Immigration; Racial and Ethnic Groups; Racial and Ethnic Relations; Racism; Acculturation; Minority Groups",,"Comments on the paper by Z. Valdez and T. Golash-Boza (see record [rid]2017-36065-005[/rid]), which examined racial and ethnic relations in the twenty-first century in the U.S. Zulema Valdez and Tanya Golash-Boza offer an integrative framework for the sociology of race and ethnicity to bridge a divide undergirding different, yet related perspectives in the field. Their work provides an initial roadmap for linking the cultural perspectives often taken in the study of ethnicity to the structural perspectives utilized in the study of race. The authors put these perspectives in dialogue with one another to elucidate the strength of integrating commonly used approaches in each area, while avoiding the pitfalls of relying only on one paradigm. Behind much of sociology’s theoretical developments to understand racial and ethnic groups’ experiences in US society, and in relation to global discussions of race and ethnicity as well, are influences of identity and ideological processes inflected and reflected by whiteness. This comment reflects on how these processes can shape future conversations considering the intertwined cultural and structural processes framing group experiences and life chances. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-36065-008&site=ehost-live&scope=site"
"Injection risk norms and practices among migrant Puerto Rican people who inject drugs in New York City: The limits of acculturation theory.","Gelpí-Acosta, C.; Guarino, H.; Benoit, E.; Deren, S.; Pouget, E. R.; Rodríguez, A.","International Journal of Drug Policy",="09553959",,="20190701","69",,"60","10","2019-34822-011","10.1016/j.drugpo.2019.03.016","Elsevier Science","Journal Article","Drug Overdoses; Human Migration; Injections; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Background: Among people who inject drugs (PWID) in New York City (NYC), racial minorities are disproportionately infected with HIV and hepatitis C (HCV). Prior research has shown that PWID who started injecting drugs in Puerto Rico (P.R.) tend to maintain the risky injection behaviors learned there. This study identifies the P.R.-native norms supporting the continued injection risk behavior of migrant Puerto Rican PWID in NYC to inform a culturally appropriate risk-reduction intervention. Methods: 40 migrant Puerto Rican PWID were recruited in NYC for a longitudinal qualitative study. The sample was stratified to include 20 migrants with <3 years in NYC and 20 migrants with >3-6 years in NYC. Time-location sampling was used to curb possible network bias in recruitment. Over 12 months, migrants completed semi-structured interviews at baseline, monthly follow-ups, and study exit. Analyses were guided by grounded theory. Results: Most participants (90%) reported having had chronic HCV, and 22.5% reported being HIV-positive. Syringe- and cooker-/cotton-sharing were widespread in both P.R. and NYC. The ubiquitous practice of cleaning used syringes by 'water-rinsing and air-blowing' was guided by a normative belief, learned in P.R., that 'water and air kill HIV.' Sterile syringe use was not a priority. HCV was not a concern. P.R.-native abstinence-only narratives discouraged opioid agonist treatment (OAT) enrollment among recent migrants (≤3 years). Experiences with drug dealers, prison-power groups, and injection doctors ('Gancheros') in P.R. influenced migrants’ injection risk behavior in NYC. Those who were Gancheros in P.R. continued working as Gancheros in NYC. Conclusions: Injection risks make migrant Puerto Rican PWID in NYC vulnerable to HIV/HCV. Harm reduction programs should pay closer attention to the rationales behind these injection risks. A risk-reduction intervention that incorporates the Ganchero figure may be a credible way to help migrants reduce injection risk and accept OAT and syringe exchange programs (SEP). (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-34822-011&site=ehost-live&scope=site"
